framework,pipeline,question_id,category,difficulty,tier,seed,latency,word_count,input_tokens,output_tokens,cost,accuracy,completeness,groundedness,coherence,overall,status
langgraph,P1,Q01,market_analysis,medium,short,0,24.603,675,,,,8,8,6,9,7.65,ok
langgraph,P1,Q02,market_analysis,easy,short,0,18.124,418,,,,6,7,7,8,6.75,ok
langgraph,P1,Q03,market_analysis,hard,short,0,17.207,550,,,,8,7,6,9,7.25,ok
langgraph,P1,Q04,scientific_explainer,easy,short,0,17.105,761,,,,8,7,6,9,7.7,ok
langgraph,P1,Q05,scientific_explainer,medium,short,0,20.17,507,,,,7,6,5,8,6.55,ok
langgraph,P1,Q06,comparative_study,medium,short,0,18.753,571,,,,8,7,6,9,7.75,ok
langgraph,P1,Q07,comparative_study,medium,short,0,19.577,807,,,,8,7,8,9,7.75,ok
langgraph,P1,Q08,trend_report,medium,short,0,25.553,538,,,,9,8,9,9,8.65,ok
langgraph,P1,Q09,trend_report,hard,short,0,18.536,545,,,,8,7,8,9,7.75,ok
langgraph,P1,Q10,literature_synthesis,hard,short,0,19.703,612,,,,8,8,7,9,7.9,ok
langgraph,P1,Q11,finance,hard,short,0,19.703,562,,,,8,9,9,9,8.65,ok
langgraph,P1,Q12,finance,hard,short,0,23.382,596,,,,9,8,7,9,8.3,ok
langgraph,P1,Q13,finance,hard,short,0,20.187,733,,,,8,9,9,9,8.6,ok
langgraph,P1,Q14,finance,hard,short,0,18.398,661,,,,8,7,7,9,7.6,ok
langgraph,P1,Q15,finance,medium,short,0,17.296,256,,,,6,5,5,9,5.55,ok
langgraph,P1,Q16,finance,hard,short,0,15.618,380,,,,8,7,8,9,7.75,ok
langgraph,P1,Q17,finance,medium,short,0,19.269,575,,,,8,7,6,9,7.45,ok
langgraph,P1,Q18,finance,hard,short,0,18.616,631,,,,9,8,7,9,8.5,ok
langgraph,P1,Q19,finance,hard,short,0,16.728,579,,,,8,6,6,8,6.9,ok
langgraph,P1,Q20,finance,medium,short,0,17.958,494,,,,6,5,4,5,5.2,ok
langgraph,P1,Q21,finance,hard,short,0,17.064,654,,,,8,7,6,8,7.3,ok
langgraph,P1,Q22,finance,medium,short,0,18.08,566,,,,6,6,5,8,5.8,ok
langgraph,P1,Q23,finance,hard,short,0,17.373,692,,,,8,8,7,9,7.9,ok
langgraph,P1,Q24,finance,hard,short,0,17.576,587,,,,7,6,5,8,6.4,ok
langgraph,P1,Q25,finance,hard,short,0,19.162,513,,,,7,6,5,8,6.35,ok
langgraph,P2,Q01,market_analysis,medium,short,0,21.968,506,,,,8,9,8,9,8.45,ok
langgraph,P2,Q02,market_analysis,easy,short,0,19.072,579,,,,6,7,4,8,5.85,ok
langgraph,P2,Q03,market_analysis,hard,short,0,21.834,630,,,,8,7,6,9,7.25,ok
langgraph,P2,Q04,scientific_explainer,easy,short,0,21.25,675,,,,9,8,8,8,8.4,ok
langgraph,P2,Q05,scientific_explainer,medium,short,0,20.761,578,,,,8,7,9,9,8.0,ok
langgraph,P2,Q06,comparative_study,medium,short,0,18.688,668,,,,9,3,3,8,6.35,ok
langgraph,P2,Q07,comparative_study,medium,short,0,19.359,683,,,,6,7,4,8,6.05,ok
